key_resp_17.keys,key_resp_17.rt,key_resp_13.keys,key_resp_13.rt,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_5.ran,Text,Condition,participant,Gender*,Age*,Estimated hours since last sleep*,date,expName,psychopyVersion,OS,frameRate,fbclid,key_resp_2.keys,key_resp_2.rt,key_resp_11.keys,key_resp_11.rt,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,trials_6.ran,Word,key_resp_3.keys,key_resp_3.rt,key_resp_9.keys,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Stimuli,key_resp_9.rt,keyrespp.keys,keyrespp.rt,key_resp_4.keys,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,Response,Congr,RightAns,key_resp_4.rt,key_resp_8.keys,key_resp_8.rt,key_resp_10.keys,key_resp_10.rt,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_4.ran,key_resp_14.keys,key_resp_14.rt,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,trials_7.ran,key_resp_5.keys,key_resp_5.rt,key_resp_12.keys,key_resp_12.rt,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,key_resp_6.keys,key_resp_6.rt,key_resp_15.keys,key_resp_15.rt,socialexc.thisRepN,socialexc.thisTrialN,socialexc.thisN,socialexc.thisIndex,socialexc.ran,Question,key_resp_7.keys,key_resp_7.rt,key_resp_16.keys,key_resp_16.rt
y,33.5521,y,5.0693,0,0,0,0,1,"
Please complete all tasks. It will take no more than 5-10 minutes.

Press any key to start the experiment",0,I dont know what to write here.,man,28,4-6h,2021-12-12_22h00.21.957,bachelor,2021.2.3,Win32,62.32859636,IwAR1gvXC1ZrZBSbECAGy5SRDqcszzcH-AaJ9cqEbCeBCZMWrn8WkBKoUzQAI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,I dont know what to write here.,man,28,4-6h,2021-12-12_22h00.21.957,bachelor,2021.2.3,Win32,62.32859636,IwAR1gvXC1ZrZBSbECAGy5SRDqcszzcH-AaJ9cqEbCeBCZMWrn8WkBKoUzQAI,space,36.4147,left,8.864,0,0,0,26,1,eye,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,I dont know what to write here.,man,28,4-6h,2021-12-12_22h00.21.957,bachelor,2021.2.3,Win32,62.32859636,IwAR1gvXC1ZrZBSbECAGy5SRDqcszzcH-AaJ9cqEbCeBCZMWrn8WkBKoUzQAI,,,left,7.4028,0,1,1,10,1,church,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,I dont know what to write here.,man,28,4-6h,2021-12-12_22h00.21.957,bachelor,2021.2.3,Win32,62.32859636,IwAR1gvXC1ZrZBSbECAGy5SRDqcszzcH-AaJ9cqEbCeBCZMWrn8WkBKoUzQAI,,,left,4.6864,0,2,2,23,1,fee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,I dont know what to write here.,man,28,4-6h,2021-12-12_22h00.21.957,bachelor,2021.2.3,Win32,62.32859636,IwAR1gvXC1ZrZBSbECAGy5SRDqcszzcH-AaJ9cqEbCeBCZMWrn8WkBKoUzQAI,,,left,25.0075,0,3,3,22,1,woman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,I dont know what to write here.,man,28,4-6h,2021-12-12_22h00.21.957,bachelor,2021.2.3,Win32,62.32859636,IwAR1gvXC1ZrZBSbECAGy5SRDqcszzcH-AaJ9cqEbCeBCZMWrn8WkBKoUzQAI,,,left,2.9092,0,4,4,11,1,gasp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,I dont know what to write here.,man,28,4-6h,2021-12-12_22h00.21.957,bachelor,2021.2.3,Win32,62.32859636,IwAR1gvXC1ZrZBSbECAGy5SRDqcszzcH-AaJ9cqEbCeBCZMWrn8WkBKoUzQAI,,,right,6.5774,0,5,5,4,1,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,I dont know what to write here.,man,28,4-6h,2021-12-12_22h00.21.957,bachelor,2021.2.3,Win32,62.32859636,IwAR1gvXC1ZrZBSbECAGy5SRDqcszzcH-AaJ9cqEbCeBCZMWrn8WkBKoUzQAI,,,left,25.5031,0,6,6,1,1,ricochet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,I dont know what to write here.,man,28,4-6h,2021-12-12_22h00.21.957,bachelor,2021.2.3,Win32,62.32859636,IwAR1gvXC1ZrZBSbECAGy5SRDqcszzcH-AaJ9cqEbCeBCZMWrn8WkBKoUzQAI,,,left,2.6843,0,7,7,17,1,scientist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,I dont know what to write here.,man,28,4-6h,2021-12-12_22h00.21.957,bachelor,2021.2.3,Win32,62.32859636,IwAR1gvXC1ZrZBSbECAGy5SRDqcszzcH-AaJ9cqEbCeBCZMWrn8WkBKoUzQAI,,,right,3.6511,0,8,8,7,1,cough,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
