key_resp_17.keys,key_resp_17.rt,key_resp_13.keys,key_resp_13.rt,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_5.ran,Text,Condition,participant,Gender*,Age*,Estimated hours since last sleep*,date,expName,psychopyVersion,OS,frameRate,key_resp_2.keys,key_resp_2.rt,key_resp_11.keys,key_resp_11.rt,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,trials_6.ran,Word,key_resp_3.keys,key_resp_3.rt,key_resp_9.keys,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Stimuli,key_resp_9.rt,keyrespp.keys,keyrespp.rt,key_resp_4.keys,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,Response,Congr,RightAns,key_resp_4.rt,key_resp_8.keys,key_resp_8.rt,key_resp_10.keys,key_resp_10.rt,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_4.ran,key_resp_14.keys,key_resp_14.rt,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,trials_7.ran,key_resp_5.keys,key_resp_5.rt,key_resp_12.keys,key_resp_12.rt,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,key_resp_6.keys,key_resp_6.rt,key_resp_15.keys,key_resp_15.rt,socialexc.thisRepN,socialexc.thisTrialN,socialexc.thisN,socialexc.thisIndex,socialexc.ran,Question,key_resp_7.keys,key_resp_7.rt,key_resp_16.keys,key_resp_16.rt
y,4.1678,space,3.3875,0,0,0,0,1,"
Please complete all tasks. It will take no more than 5-10 minutes.

Press any key to start the experiment",0,Jack,man,23,4-6h,2021-12-11_13h54.49.366,bachelor,2021.2.3,Win32,59.89458553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Jack,man,23,4-6h,2021-12-11_13h54.49.366,bachelor,2021.2.3,Win32,59.89458553,space,10.4916,left,5.3404,0,0,0,12,1,forest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Jack,man,23,4-6h,2021-12-11_13h54.49.366,bachelor,2021.2.3,Win32,59.89458553,,,left,5.1951,0,1,1,26,1,eye,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Jack,man,23,4-6h,2021-12-11_13h54.49.366,bachelor,2021.2.3,Win32,59.89458553,,,right,4.3769,0,2,2,2,1,home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Jack,man,23,4-6h,2021-12-11_13h54.49.366,bachelor,2021.2.3,Win32,59.89458553,,,right,3.5469,0,3,3,0,1,drank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Jack,man,23,4-6h,2021-12-11_13h54.49.366,bachelor,2021.2.3,Win32,59.89458553,,,right,26.6689,0,4,4,23,1,fee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Jack,man,23,4-6h,2021-12-11_13h54.49.366,bachelor,2021.2.3,Win32,59.89458553,,,left,1.4851,0,5,5,3,1,foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Jack,man,23,4-6h,2021-12-11_13h54.49.366,bachelor,2021.2.3,Win32,59.89458553,,,right,3.321,0,6,6,9,1,hot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Jack,man,23,4-6h,2021-12-11_13h54.49.366,bachelor,2021.2.3,Win32,59.89458553,,,left,0.9776,0,7,7,10,1,church,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Jack,man,23,4-6h,2021-12-11_13h54.49.366,bachelor,2021.2.3,Win32,59.89458553,,,left,1.2887,0,8,8,4,1,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
