key_resp_17.keys,key_resp_17.rt,key_resp_13.keys,key_resp_13.rt,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_5.ran,Text,Condition,participant,Gender*,Age*,Estimated hours since last sleep*,date,expName,psychopyVersion,OS,frameRate,key_resp_2.keys,key_resp_2.rt,key_resp_11.keys,key_resp_11.rt,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,trials_6.ran,Word,key_resp_3.keys,key_resp_3.rt,key_resp_9.keys,key_resp_9.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Stimuli,keyrespp.keys,keyrespp.rt,key_resp_4.keys,key_resp_4.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,Response,Congr,RightAns,key_resp_8.keys,key_resp_8.rt,key_resp_10.keys,key_resp_10.rt,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_4.ran,key_resp_14.keys,key_resp_14.rt,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,trials_7.ran,key_resp_5.keys,key_resp_5.rt,key_resp_12.keys,key_resp_12.rt,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,key_resp_6.keys,key_resp_6.rt,key_resp_15.keys,key_resp_15.rt,socialexc.thisRepN,socialexc.thisTrialN,socialexc.thisN,socialexc.thisIndex,socialexc.ran,Question,key_resp_7.keys,key_resp_7.rt,key_resp_16.keys,key_resp_16.rt
y,12.9674,space,4.341,0,0,0,0,1,"Please complete all tasks. It will take no more than 5-10 minutes.

Thank you for contributing to science and deciding to offer your time. Your participation is highly valued. 

Press SPACE to start the experiment",1,M,man,32,13-15h,2021-12-12_20h42.26.149,bachelor,2021.2.3,Win32,60.20107158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,M,man,32,13-15h,2021-12-12_20h42.26.149,bachelor,2021.2.3,Win32,60.20107158,space,9.7869,right,2.1007,0,0,0,21,1,ambulance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,M,man,32,13-15h,2021-12-12_20h42.26.149,bachelor,2021.2.3,Win32,60.20107158,,,left,2.4222,0,1,1,23,1,fee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,M,man,32,13-15h,2021-12-12_20h42.26.149,bachelor,2021.2.3,Win32,60.20107158,,,left,3.7739,0,2,2,15,1,minister,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,M,man,32,13-15h,2021-12-12_20h42.26.149,bachelor,2021.2.3,Win32,60.20107158,,,right,2.0664,0,3,3,7,1,cough,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,M,man,32,13-15h,2021-12-12_20h42.26.149,bachelor,2021.2.3,Win32,60.20107158,,,right,2.659,0,4,4,25,1,soccer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,M,man,32,13-15h,2021-12-12_20h42.26.149,bachelor,2021.2.3,Win32,60.20107158,,,left,1.428,0,5,5,10,1,church,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,M,man,32,13-15h,2021-12-12_20h42.26.149,bachelor,2021.2.3,Win32,60.20107158,,,right,1.4313,0,6,6,13,1,belch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,M,man,32,13-15h,2021-12-12_20h42.26.149,bachelor,2021.2.3,Win32,60.20107158,,,left,1.5328,0,7,7,22,1,woman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,M,man,32,13-15h,2021-12-12_20h42.26.149,bachelor,2021.2.3,Win32,60.20107158,,,right,2.0021,0,8,8,18,1,screech,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
