key_resp_17.keys,key_resp_17.rt,key_resp_13.keys,key_resp_13.rt,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_5.ran,Text,Condition,participant,Gender*,Age*,Estimated hours since last sleep*,date,expName,psychopyVersion,OS,frameRate,fbclid,key_resp_2.keys,key_resp_2.rt,key_resp_11.keys,key_resp_11.rt,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,trials_6.ran,Word,key_resp_3.keys,key_resp_3.rt,key_resp_9.keys,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Stimuli,key_resp_9.rt,keyrespp.keys,keyrespp.rt,key_resp_4.keys,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,Response,Congr,RightAns,key_resp_4.rt,key_resp_8.keys,key_resp_8.rt,key_resp_10.keys,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_4.ran,key_resp_10.rt,key_resp_14.keys,key_resp_14.rt,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,trials_7.ran,key_resp_5.keys,key_resp_5.rt,key_resp_12.keys,key_resp_12.rt,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,key_resp_6.keys,key_resp_6.rt,key_resp_15.keys,key_resp_15.rt,socialexc.thisRepN,socialexc.thisTrialN,socialexc.thisN,socialexc.thisIndex,socialexc.ran,Question,key_resp_7.keys,key_resp_7.rt,key_resp_16.keys,key_resp_16.rt
y,17.5015,space,3.747,0,0,0,0,1,"
Please complete all tasks. It will take no more than 5-10 minutes.

Press any key to start the experiment",0,,woman,24,7-9h,2021-12-01_14h36.54.865,bachelor,2021.2.3,Win32,59.59475566,IwAR3yLSyi89beHyCf_cfZaWvbm-miesleX5fER5oKj6TyDyIddQJS753WqGo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,woman,24,7-9h,2021-12-01_14h36.54.865,bachelor,2021.2.3,Win32,59.59475566,IwAR3yLSyi89beHyCf_cfZaWvbm-miesleX5fER5oKj6TyDyIddQJS753WqGo,space,20.6788,left,3.6198,0,0,0,27,1,applause,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,woman,24,7-9h,2021-12-01_14h36.54.865,bachelor,2021.2.3,Win32,59.59475566,IwAR3yLSyi89beHyCf_cfZaWvbm-miesleX5fER5oKj6TyDyIddQJS753WqGo,,,right,3.5488,0,1,1,13,1,belch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,woman,24,7-9h,2021-12-01_14h36.54.865,bachelor,2021.2.3,Win32,59.59475566,IwAR3yLSyi89beHyCf_cfZaWvbm-miesleX5fER5oKj6TyDyIddQJS753WqGo,,,left,4.0583,0,2,2,26,1,eye,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,woman,24,7-9h,2021-12-01_14h36.54.865,bachelor,2021.2.3,Win32,59.59475566,IwAR3yLSyi89beHyCf_cfZaWvbm-miesleX5fER5oKj6TyDyIddQJS753WqGo,,,left,5.6655,0,3,3,3,1,foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,woman,24,7-9h,2021-12-01_14h36.54.865,bachelor,2021.2.3,Win32,59.59475566,IwAR3yLSyi89beHyCf_cfZaWvbm-miesleX5fER5oKj6TyDyIddQJS753WqGo,,,right,1.2033,0,4,4,20,1,journalist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,woman,24,7-9h,2021-12-01_14h36.54.865,bachelor,2021.2.3,Win32,59.59475566,IwAR3yLSyi89beHyCf_cfZaWvbm-miesleX5fER5oKj6TyDyIddQJS753WqGo,,,left,2.5925,0,5,5,23,1,fee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,woman,24,7-9h,2021-12-01_14h36.54.865,bachelor,2021.2.3,Win32,59.59475566,IwAR3yLSyi89beHyCf_cfZaWvbm-miesleX5fER5oKj6TyDyIddQJS753WqGo,,,right,1.7433,0,6,6,9,1,hot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,woman,24,7-9h,2021-12-01_14h36.54.865,bachelor,2021.2.3,Win32,59.59475566,IwAR3yLSyi89beHyCf_cfZaWvbm-miesleX5fER5oKj6TyDyIddQJS753WqGo,,,left,2.4443,0,7,7,8,1,college,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,woman,24,7-9h,2021-12-01_14h36.54.865,bachelor,2021.2.3,Win32,59.59475566,IwAR3yLSyi89beHyCf_cfZaWvbm-miesleX5fER5oKj6TyDyIddQJS753WqGo,,,right,7.8855,0,8,8,1,1,ricochet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,woman,24,7-9h,2021-12-01_14h36.54.865,bachelor,2021.2.3,Win32,59.59475566,IwAR3yLSyi89beHyCf_cfZaWvbm-miesleX5fER5oKj6TyDyIddQJS753WqGo,,,right,3.4633,0,9,9,5,1,cold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,woman,24,7-9h,2021-12-01_14h36.54.865,bachelor,2021.2.3,Win32,59.59475566,IwAR3yLSyi89beHyCf_cfZaWvbm-miesleX5fER5oKj6TyDyIddQJS753WqGo,,,left,5.8121,0,10,10,12,1,forest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,woman,24,7-9h,2021-12-01_14h36.54.865,bachelor,2021.2.3,Win32,59.59475566,IwAR3yLSyi89beHyCf_cfZaWvbm-miesleX5fER5oKj6TyDyIddQJS753WqGo,,,left,1.9594,0,11,11,4,1,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,woman,24,7-9h,2021-12-01_14h36.54.865,bachelor,2021.2.3,Win32,59.59475566,IwAR3yLSyi89beHyCf_cfZaWvbm-miesleX5fER5oKj6TyDyIddQJS753WqGo,,,left,1.9286,0,12,12,6,1,airport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,woman,24,7-9h,2021-12-01_14h36.54.865,bachelor,2021.2.3,Win32,59.59475566,IwAR3yLSyi89beHyCf_cfZaWvbm-miesleX5fER5oKj6TyDyIddQJS753WqGo,,,left,4.1268,0,13,13,16,1,gunshot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,woman,24,7-9h,2021-12-01_14h36.54.865,bachelor,2021.2.3,Win32,59.59475566,IwAR3yLSyi89beHyCf_cfZaWvbm-miesleX5fER5oKj6TyDyIddQJS753WqGo,,,right,2.4576,0,14,14,17,1,scientist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,woman,24,7-9h,2021-12-01_14h36.54.865,bachelor,2021.2.3,Win32,59.59475566,IwAR3yLSyi89beHyCf_cfZaWvbm-miesleX5fER5oKj6TyDyIddQJS753WqGo,,,left,2.2313,0,15,15,2,1,home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
