key_resp_17.keys,key_resp_17.rt,key_resp_13.keys,key_resp_13.rt,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_5.ran,Text,Condition,participant,Gender*,Age*,Estimated hours since last sleep*,date,expName,psychopyVersion,OS,frameRate,fbclid,key_resp_2.keys,key_resp_2.rt,key_resp_11.keys,key_resp_11.rt,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,trials_6.ran,Word,key_resp_3.keys,key_resp_3.rt,key_resp_9.keys,key_resp_9.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Stimuli,keyrespp.keys,keyrespp.rt,key_resp_4.keys,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,Response,Congr,RightAns,key_resp_4.rt,key_resp_8.keys,key_resp_8.rt,key_resp_10.keys,key_resp_10.rt,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_4.ran,key_resp_14.keys,key_resp_14.rt,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,trials_7.ran,key_resp_5.keys,key_resp_5.rt,key_resp_12.keys,key_resp_12.rt,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,key_resp_6.keys,key_resp_6.rt,key_resp_15.keys,key_resp_15.rt,socialexc.thisRepN,socialexc.thisTrialN,socialexc.thisN,socialexc.thisIndex,socialexc.ran,Question,key_resp_7.keys,key_resp_7.rt,key_resp_16.keys,key_resp_16.rt
y,25.13,space,9.291,0,0,0,0,1,"Please complete all tasks. It will take no more than 5-10 minutes.

Thank you for contributing to science and deciding to offer your time. Your participation is highly valued. 

Press SPACE to start the experiment",1,,man,23,4-6h,2021-12-06_13h51.06.759,bachelor,2021.2.3,MacIntel,71.42857143,IwAR1Ke1prQtfUHoR9ImOM2SBgUu5dKskZLMuR3W-dSUx5JdBKh4by94oVV2k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,man,23,4-6h,2021-12-06_13h51.06.759,bachelor,2021.2.3,MacIntel,71.42857143,IwAR1Ke1prQtfUHoR9ImOM2SBgUu5dKskZLMuR3W-dSUx5JdBKh4by94oVV2k,space,16.181,left,5.387,0,0,0,19,1,wonder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,man,23,4-6h,2021-12-06_13h51.06.759,bachelor,2021.2.3,MacIntel,71.42857143,IwAR1Ke1prQtfUHoR9ImOM2SBgUu5dKskZLMuR3W-dSUx5JdBKh4by94oVV2k,,,left,4.479,0,1,1,25,1,soccer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,man,23,4-6h,2021-12-06_13h51.06.759,bachelor,2021.2.3,MacIntel,71.42857143,IwAR1Ke1prQtfUHoR9ImOM2SBgUu5dKskZLMuR3W-dSUx5JdBKh4by94oVV2k,,,left,2.352,0,2,2,17,1,scientist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,man,23,4-6h,2021-12-06_13h51.06.759,bachelor,2021.2.3,MacIntel,71.42857143,IwAR1Ke1prQtfUHoR9ImOM2SBgUu5dKskZLMuR3W-dSUx5JdBKh4by94oVV2k,,,right,4.427,0,3,3,1,1,ricochet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,man,23,4-6h,2021-12-06_13h51.06.759,bachelor,2021.2.3,MacIntel,71.42857143,IwAR1Ke1prQtfUHoR9ImOM2SBgUu5dKskZLMuR3W-dSUx5JdBKh4by94oVV2k,,,left,1.431,0,4,4,2,1,home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,man,23,4-6h,2021-12-06_13h51.06.759,bachelor,2021.2.3,MacIntel,71.42857143,IwAR1Ke1prQtfUHoR9ImOM2SBgUu5dKskZLMuR3W-dSUx5JdBKh4by94oVV2k,,,right,5.07,0,5,5,0,1,drank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,man,23,4-6h,2021-12-06_13h51.06.759,bachelor,2021.2.3,MacIntel,71.42857143,IwAR1Ke1prQtfUHoR9ImOM2SBgUu5dKskZLMuR3W-dSUx5JdBKh4by94oVV2k,,,right,1.689,0,6,6,6,1,airport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,man,23,4-6h,2021-12-06_13h51.06.759,bachelor,2021.2.3,MacIntel,71.42857143,IwAR1Ke1prQtfUHoR9ImOM2SBgUu5dKskZLMuR3W-dSUx5JdBKh4by94oVV2k,,,left,3.578,0,7,7,13,1,belch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,man,23,4-6h,2021-12-06_13h51.06.759,bachelor,2021.2.3,MacIntel,71.42857143,IwAR1Ke1prQtfUHoR9ImOM2SBgUu5dKskZLMuR3W-dSUx5JdBKh4by94oVV2k,,,right,1.124,0,8,8,16,1,gunshot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,man,23,4-6h,2021-12-06_13h51.06.759,bachelor,2021.2.3,MacIntel,71.42857143,IwAR1Ke1prQtfUHoR9ImOM2SBgUu5dKskZLMuR3W-dSUx5JdBKh4by94oVV2k,,,right,2.466,0,9,9,11,1,gasp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,man,23,4-6h,2021-12-06_13h51.06.759,bachelor,2021.2.3,MacIntel,71.42857143,IwAR1Ke1prQtfUHoR9ImOM2SBgUu5dKskZLMuR3W-dSUx5JdBKh4by94oVV2k,,,right,2.308,0,10,10,10,1,church,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,man,23,4-6h,2021-12-06_13h51.06.759,bachelor,2021.2.3,MacIntel,71.42857143,IwAR1Ke1prQtfUHoR9ImOM2SBgUu5dKskZLMuR3W-dSUx5JdBKh4by94oVV2k,,,right,2.015,0,11,11,21,1,ambulance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,man,23,4-6h,2021-12-06_13h51.06.759,bachelor,2021.2.3,MacIntel,71.42857143,IwAR1Ke1prQtfUHoR9ImOM2SBgUu5dKskZLMuR3W-dSUx5JdBKh4by94oVV2k,,,right,6.593,0,12,12,22,1,woman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,man,23,4-6h,2021-12-06_13h51.06.759,bachelor,2021.2.3,MacIntel,71.42857143,IwAR1Ke1prQtfUHoR9ImOM2SBgUu5dKskZLMuR3W-dSUx5JdBKh4by94oVV2k,,,left,1.988,0,13,13,12,1,forest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,man,23,4-6h,2021-12-06_13h51.06.759,bachelor,2021.2.3,MacIntel,71.42857143,IwAR1Ke1prQtfUHoR9ImOM2SBgUu5dKskZLMuR3W-dSUx5JdBKh4by94oVV2k,,,right,1.878,0,14,14,23,1,fee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,man,23,4-6h,2021-12-06_13h51.06.759,bachelor,2021.2.3,MacIntel,71.42857143,IwAR1Ke1prQtfUHoR9ImOM2SBgUu5dKskZLMuR3W-dSUx5JdBKh4by94oVV2k,,,right,1.756,0,15,15,20,1,journalist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,man,23,4-6h,2021-12-06_13h51.06.759,bachelor,2021.2.3,MacIntel,71.42857143,IwAR1Ke1prQtfUHoR9ImOM2SBgUu5dKskZLMuR3W-dSUx5JdBKh4by94oVV2k,,,right,1.303,0,16,16,5,1,cold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,man,23,4-6h,2021-12-06_13h51.06.759,bachelor,2021.2.3,MacIntel,71.42857143,IwAR1Ke1prQtfUHoR9ImOM2SBgUu5dKskZLMuR3W-dSUx5JdBKh4by94oVV2k,,,right,2.576,0,17,17,4,1,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,man,23,4-6h,2021-12-06_13h51.06.759,bachelor,2021.2.3,MacIntel,71.42857143,IwAR1Ke1prQtfUHoR9ImOM2SBgUu5dKskZLMuR3W-dSUx5JdBKh4by94oVV2k,,,right,1.978,0,18,18,27,1,applause,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,man,23,4-6h,2021-12-06_13h51.06.759,bachelor,2021.2.3,MacIntel,71.42857143,IwAR1Ke1prQtfUHoR9ImOM2SBgUu5dKskZLMuR3W-dSUx5JdBKh4by94oVV2k,,,right,1.951,0,19,19,15,1,minister,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,man,23,4-6h,2021-12-06_13h51.06.759,bachelor,2021.2.3,MacIntel,71.42857143,IwAR1Ke1prQtfUHoR9ImOM2SBgUu5dKskZLMuR3W-dSUx5JdBKh4by94oVV2k,,,left,1.533,0,20,20,26,1,eye,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,man,23,4-6h,2021-12-06_13h51.06.759,bachelor,2021.2.3,MacIntel,71.42857143,IwAR1Ke1prQtfUHoR9ImOM2SBgUu5dKskZLMuR3W-dSUx5JdBKh4by94oVV2k,,,left,3.577,0,21,21,24,1,lip,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,man,23,4-6h,2021-12-06_13h51.06.759,bachelor,2021.2.3,MacIntel,71.42857143,IwAR1Ke1prQtfUHoR9ImOM2SBgUu5dKskZLMuR3W-dSUx5JdBKh4by94oVV2k,,,right,4.611,0,22,22,18,1,screech,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
