key_resp_17.keys,key_resp_17.rt,key_resp_13.keys,key_resp_13.rt,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_5.ran,Text,Condition,participant,Gender*,Age*,Estimated hours since last sleep*,date,expName,psychopyVersion,OS,frameRate,fbclid,key_resp_2.keys,key_resp_2.rt,key_resp_11.keys,key_resp_11.rt,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,trials_6.ran,Word,key_resp_3.keys,key_resp_3.rt,key_resp_9.keys,key_resp_9.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Stimuli,keyrespp.keys,keyrespp.rt,key_resp_4.keys,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,Response,Congr,RightAns,key_resp_4.rt,key_resp_8.keys,key_resp_8.rt,key_resp_10.keys,key_resp_10.rt,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_4.ran,key_resp_14.keys,key_resp_14.rt,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,trials_7.ran,key_resp_5.keys,key_resp_5.rt,key_resp_12.keys,key_resp_12.rt,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,key_resp_6.keys,key_resp_6.rt,key_resp_15.keys,key_resp_15.rt,socialexc.thisRepN,socialexc.thisTrialN,socialexc.thisN,socialexc.thisIndex,socialexc.ran,Question,key_resp_7.keys,key_resp_7.rt,key_resp_16.keys,key_resp_16.rt
y,14.0143,space,5.2477,0,0,0,0,1,"Please complete all tasks. It will take no more than 5-10 minutes.

Thank you for contributing to science and deciding to offer your time. Your participation is highly valued. 

Press SPACE to start the experiment",1,Philip,man,24,10-12h,2021-12-02_20h49.38.753,bachelor,2021.2.3,Win32,60.0132029,IwAR2QXWwh8gZK1koYfP-KWOSWoIu4Ii1ih1T5WzlYDBDafJno2SPmhK0a36w,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Philip,man,24,10-12h,2021-12-02_20h49.38.753,bachelor,2021.2.3,Win32,60.0132029,IwAR2QXWwh8gZK1koYfP-KWOSWoIu4Ii1ih1T5WzlYDBDafJno2SPmhK0a36w,space,16.1132,left,2.978,0,0,0,15,1,minister,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Philip,man,24,10-12h,2021-12-02_20h49.38.753,bachelor,2021.2.3,Win32,60.0132029,IwAR2QXWwh8gZK1koYfP-KWOSWoIu4Ii1ih1T5WzlYDBDafJno2SPmhK0a36w,,,right,2.3514,0,1,1,24,1,lip,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Philip,man,24,10-12h,2021-12-02_20h49.38.753,bachelor,2021.2.3,Win32,60.0132029,IwAR2QXWwh8gZK1koYfP-KWOSWoIu4Ii1ih1T5WzlYDBDafJno2SPmhK0a36w,,,right,1.8651,0,2,2,9,1,hot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Philip,man,24,10-12h,2021-12-02_20h49.38.753,bachelor,2021.2.3,Win32,60.0132029,IwAR2QXWwh8gZK1koYfP-KWOSWoIu4Ii1ih1T5WzlYDBDafJno2SPmhK0a36w,,,right,1.5034,0,3,3,3,1,foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Philip,man,24,10-12h,2021-12-02_20h49.38.753,bachelor,2021.2.3,Win32,60.0132029,IwAR2QXWwh8gZK1koYfP-KWOSWoIu4Ii1ih1T5WzlYDBDafJno2SPmhK0a36w,,,right,3.4998,0,4,4,25,1,soccer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Philip,man,24,10-12h,2021-12-02_20h49.38.753,bachelor,2021.2.3,Win32,60.0132029,IwAR2QXWwh8gZK1koYfP-KWOSWoIu4Ii1ih1T5WzlYDBDafJno2SPmhK0a36w,,,right,1.1755,0,5,5,21,1,ambulance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Philip,man,24,10-12h,2021-12-02_20h49.38.753,bachelor,2021.2.3,Win32,60.0132029,IwAR2QXWwh8gZK1koYfP-KWOSWoIu4Ii1ih1T5WzlYDBDafJno2SPmhK0a36w,,,right,1.251,0,6,6,23,1,fee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Philip,man,24,10-12h,2021-12-02_20h49.38.753,bachelor,2021.2.3,Win32,60.0132029,IwAR2QXWwh8gZK1koYfP-KWOSWoIu4Ii1ih1T5WzlYDBDafJno2SPmhK0a36w,,,right,1.7972,0,7,7,6,1,airport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Philip,man,24,10-12h,2021-12-02_20h49.38.753,bachelor,2021.2.3,Win32,60.0132029,IwAR2QXWwh8gZK1koYfP-KWOSWoIu4Ii1ih1T5WzlYDBDafJno2SPmhK0a36w,,,right,2.6964,0,8,8,7,1,cough,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
