"","Word","key_resp_17.keys","key_resp_17.rt","key_resp_13.keys","key_resp_13.rt","trials_5.thisRepN","trials_5.thisTrialN","trials_5.thisN","trials_5.thisIndex","trials_5.ran","Text","Condition","participant","Gender*","Age*","Estimated hours since last sleep*","date","expName","psychopyVersion","OS","frameRate","key_resp_2.keys","key_resp_2.rt","response1","key_resp_11.rt","trials_6.thisRepN","trials_6.thisTrialN","trials_6.thisN","trials_6.thisIndex","trials_6.ran","key_resp_3.keys","key_resp_3.rt","key_resp_9.keys","key_resp_9.rt","trials_2.thisRepN","trials_2.thisTrialN","trials_2.thisN","trials_2.thisIndex","trials_2.ran","Stimuli","keyrespp.keys","keyrespp.rt","key_resp_4.keys","key_resp_4.rt","trials.thisRepN","trials.thisTrialN","trials.thisN","trials.thisIndex","trials.ran","Response","Congr","RightAns","key_resp_8.keys","key_resp_8.rt","key_resp_10.keys","key_resp_10.rt","trials_4.thisRepN","trials_4.thisTrialN","trials_4.thisN","trials_4.thisIndex","trials_4.ran","key_resp_14.keys","key_resp_14.rt","trials_7.thisRepN","trials_7.thisTrialN","trials_7.thisN","trials_7.thisIndex","trials_7.ran","key_resp_5.keys","key_resp_5.rt","response2","key_resp_12.rt","trials_3.thisRepN","trials_3.thisTrialN","trials_3.thisN","trials_3.thisIndex","trials_3.ran","key_resp_6.keys","key_resp_6.rt","key_resp_15.keys","key_resp_15.rt","socialexc.thisRepN","socialexc.thisTrialN","socialexc.thisN","socialexc.thisIndex","socialexc.ran","Question","key_resp_7.keys","key_resp_7.rt","key_resp_16.keys","key_resp_16.rt","fbclid","key_resp_17.keys;key_resp_17.rt;key_resp_13.keys;key_resp_13.rt;trials_5.thisRepN;trials_5.thisTrialN;trials_5.thisN;trials_5.thisIndex;trials_5.ran;Text;Condition;participant;Gender*;Age*;Estimated hours since last sleep*;date;expName;psychopyVersion;OS;frameRate;fbclid;key_resp_2.keys;key_resp_2.rt;key_resp_11.keys;key_resp_11.rt;trials_6.thisRepN;trials_6.thisTrialN;trials_6.thisN;trials_6.thisIndex;trials_6.ran;Word;key_resp_3.keys;key_resp_3.rt;key_resp_9.keys;trials_2.thisRepN;trials_2.thisTrialN;trials_2.thisN;trials_2.thisIndex;trials_2.ran;Stimuli;key_resp_9.rt;keyrespp.keys;keyrespp.rt;key_resp_4.keys;trials.thisRepN;trials.thisTrialN;trials.thisN;trials.thisIndex;trials.ran;Response;Congr;RightAns;key_resp_4.rt;key_resp_8.keys;key_resp_8.rt;key_resp_10.keys;trials_4.thisRepN;trials_4.thisTrialN;trials_4.thisN;trials_4.thisIndex;trials_4.ran;key_resp_10.rt;key_resp_14.keys;key_resp_14.rt;trials_7.thisRepN;trials_7.thisTrialN;trials_7.thisN;trials_7.thisIndex;trials_7.ran;key_resp_5.keys;key_resp_5.rt;key_resp_12.keys;key_resp_12.rt;trials_3.thisRepN;trials_3.thisTrialN;trials_3.thisN;trials_3.thisIndex;trials_3.ran;key_resp_6.keys;key_resp_6.rt;key_resp_15.keys;key_resp_15.rt;socialexc.thisRepN;socialexc.thisTrialN;socialexc.thisN;socialexc.thisIndex;socialexc.ran;Question;key_resp_7.keys;key_resp_7.rt;key_resp_16.keys;key_resp_16.rt","type","Score","factor","Score_scaled","sentiment1","sentiment2","scores_what","trial1Scores","trial2Scores","t1Score_scaled","t2Score_scaled"
"1","actor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","tITnv3Z","woman",21,"1-3h","2021-12-06_10h51.55.444","bachelor","2021.2.3","MacIntel",60.0024001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.7674,0,22,22,23,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IwAR2b37PvDE92fbWKCZSags7V8ETFVid47-yhywKOffvfuWcT_9Kwk0wFAuI",NA,"human",2.96374747010422,1,0.916001310900064,NA,0.818182005058487,0.823176896419957,NA,2.96374747010422,NA,0.818182005058487
"2","actor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","ckBIX57","woman",32,"4-6h","2021-12-04_20h54.45.847","bachelor","2021.2.3","MacIntel",58.82352941,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,0.796,0,15,15,23,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IwAR1XnQd6Ia16RXHb8MRvMwbxGnGWK4DGcnByoOoi_uEyfvFe2aaF7JGEQX8",NA,"human",2.96374747010422,1,0.916001310900064,NA,-0.818182005058487,0.823176896419957,NA,2.96374747010422,NA,0.818182005058487
"3","actor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","i5cHQii","man",29,"10-12h","2021-12-12_19h50.13.908","bachelor","2021.2.3","MacIntel",59.99520038,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,1.0485,0,11,11,23,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IwAR3vCExL7aXYkCwXCqqHvy-ugvf5lrmEJP15zVtYiR2S6nevJHXbXgMcXro",NA,"human",2.96374747010422,1,0.916001310900064,NA,-0.818182005058487,0.823176896419957,NA,2.96374747010422,NA,0.818182005058487
"4","actor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","DwugyIr","woman",18,"10-12h","2021-12-01_17h10.38.417","bachelor","2021.2.3","Win32",59.96641881,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,0.7846,0,17,17,23,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IwAR30-zn7PZY6bv_IRc0y2CLUXBFjvoh0_DFK33PzhVQ74YXmRt2v1VZloQE",NA,"human",2.96374747010422,1,0.916001310900064,NA,-0.818182005058487,0.823176896419957,NA,2.96374747010422,NA,0.818182005058487
"5","actor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","JVY7jCo","woman",22,"1-3h","2021-12-02_09h47.18.198","bachelor","2021.2.3","Win32",59.9268892,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.8388,0,17,17,23,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IwAR1d1TKlMt1yzBDY5woBuInyc2XF-19_z_l9N1cMfEXg579fCM0azRbEP2k",NA,"human",2.96374747010422,1,0.916001310900064,NA,0.818182005058487,0.823176896419957,NA,2.96374747010422,NA,0.818182005058487
"6","actor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","BgAtUlU","man",28,"4-6h","2021-12-12_22h00.21.957","bachelor","2021.2.3","Win32",62.32859636,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1.1096,0,23,23,23,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IwAR1gvXC1ZrZBSbECAGy5SRDqcszzcH-AaJ9cqEbCeBCZMWrn8WkBKoUzQAI",NA,"human",2.96374747010422,1,0.916001310900064,NA,0.818182005058487,0.823176896419957,NA,2.96374747010422,NA,0.818182005058487
"7","actor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","jYhj9yS","man",20,"10-12h","2021-12-07_19h19.21.114","bachelor","2021.2.3","Win32",59.93407252,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1.7321,0,17,17,23,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IwAR3hMbX0hdVyF1MsQbbo-rjMO46g-dm1Sys-XXHoE16wUwHHlUIfFau-ICk",NA,"human",2.96374747010422,1,0.916001310900064,NA,0.818182005058487,0.823176896419957,NA,2.96374747010422,NA,0.818182005058487
"8","actor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","Wv9bebz","woman",21,"13-15h","2021-12-01_20h47.58.802","bachelor","2021.2.3","MacIntel",71.42857143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.815,0,26,26,23,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IwAR0fIy4rXJbTyGk1qvhlqIHko2JwZHUIjMwkfZhFNfNAb7iLftWId5prvy8",NA,"human",2.96374747010422,1,0.916001310900064,NA,0.818182005058487,0.823176896419957,NA,2.96374747010422,NA,0.818182005058487
"9","actor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","AZ3Gg7G","man",24,"4-6h","2021-12-11_18h10.46.274","bachelor","2021.2.3","Win32",60.29181237,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1.2445,0,22,22,23,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IwAR2Q7jZKIq7PnqEC-VFvwAdnbxakit3fX_VvYV9IJgwedJLOMhHyzayGzxI",NA,"human",2.96374747010422,1,0.916001310900064,NA,0.818182005058487,0.823176896419957,NA,2.96374747010422,NA,0.818182005058487
"10","actor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","5LsI3OC","woman",18,"10-12h","2021-12-01_17h10.38.417","bachelor","2021.2.3","Win32",59.96641881,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,0.7846,0,17,17,23,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IwAR30-zn7PZY6bv_IRc0y2CLUXBFjvoh0_DFK33PzhVQ74YXmRt2v1VZloQE",NA,"human",2.96374747010422,1,0.916001310900064,NA,-0.818182005058487,0.823176896419957,NA,2.96374747010422,NA,0.818182005058487
