key_resp_17.keys,key_resp_17.rt,key_resp_13.keys,key_resp_13.rt,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_5.ran,Text,Condition,participant,Gender*,Age*,Estimated hours since last sleep*,date,expName,psychopyVersion,OS,frameRate,key_resp_2.keys,key_resp_2.rt,key_resp_11.keys,key_resp_11.rt,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,trials_6.ran,Word,key_resp_3.keys,key_resp_3.rt,key_resp_9.keys,key_resp_9.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Stimuli,keyrespp.keys,keyrespp.rt,key_resp_4.keys,key_resp_4.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,Response,Congr,RightAns,key_resp_8.keys,key_resp_8.rt,key_resp_10.keys,key_resp_10.rt,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_4.ran,key_resp_14.keys,key_resp_14.rt,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,trials_7.ran,key_resp_5.keys,key_resp_5.rt,key_resp_12.keys,key_resp_12.rt,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,key_resp_6.keys,key_resp_6.rt,key_resp_15.keys,key_resp_15.rt,socialexc.thisRepN,socialexc.thisTrialN,socialexc.thisN,socialexc.thisIndex,socialexc.ran,Question,key_resp_7.keys,key_resp_7.rt,key_resp_16.keys,key_resp_16.rt
y,13.9427,space,3.4155,0,0,0,0,1,"
Please complete all tasks. It will take no more than 5-10 minutes.

Press any key to start the experiment",0,kolobabs,woman,23,4-6h,2021-12-06_13h25.11.791,bachelor,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,kolobabs,woman,23,4-6h,2021-12-06_13h25.11.791,bachelor,2021.2.3,MacIntel,60.0024001,space,17.8811,right,2.5697,0,0,0,9,1,hot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,kolobabs,woman,23,4-6h,2021-12-06_13h25.11.791,bachelor,2021.2.3,MacIntel,60.0024001,,,left,6.3972,0,1,1,27,1,applause,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,kolobabs,woman,23,4-6h,2021-12-06_13h25.11.791,bachelor,2021.2.3,MacIntel,60.0024001,,,right,1.4006,0,2,2,3,1,foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,kolobabs,woman,23,4-6h,2021-12-06_13h25.11.791,bachelor,2021.2.3,MacIntel,60.0024001,,,left,2.1902,0,3,3,24,1,lip,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,kolobabs,woman,23,4-6h,2021-12-06_13h25.11.791,bachelor,2021.2.3,MacIntel,60.0024001,,,right,1.9499,0,4,4,18,1,screech,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,kolobabs,woman,23,4-6h,2021-12-06_13h25.11.791,bachelor,2021.2.3,MacIntel,60.0024001,,,right,2.1046,0,5,5,1,1,ricochet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,kolobabs,woman,23,4-6h,2021-12-06_13h25.11.791,bachelor,2021.2.3,MacIntel,60.0024001,,,left,3.839,0,6,6,25,1,soccer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,kolobabs,woman,23,4-6h,2021-12-06_13h25.11.791,bachelor,2021.2.3,MacIntel,60.0024001,,,right,1.7878,0,7,7,13,1,belch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,kolobabs,woman,23,4-6h,2021-12-06_13h25.11.791,bachelor,2021.2.3,MacIntel,60.0024001,,,left,1.2306,0,8,8,2,1,home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,kolobabs,woman,23,4-6h,2021-12-06_13h25.11.791,bachelor,2021.2.3,MacIntel,60.0024001,,,left,5.076,0,9,9,19,1,wonder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,kolobabs,woman,23,4-6h,2021-12-06_13h25.11.791,bachelor,2021.2.3,MacIntel,60.0024001,,,right,1.3662,0,10,10,7,1,cough,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,kolobabs,woman,23,4-6h,2021-12-06_13h25.11.791,bachelor,2021.2.3,MacIntel,60.0024001,,,left,2.2164,0,11,11,26,1,eye,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,kolobabs,woman,23,4-6h,2021-12-06_13h25.11.791,bachelor,2021.2.3,MacIntel,60.0024001,,,right,1.8055,0,12,12,23,1,fee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,kolobabs,woman,23,4-6h,2021-12-06_13h25.11.791,bachelor,2021.2.3,MacIntel,60.0024001,,,right,1.455,0,13,13,15,1,minister,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,kolobabs,woman,23,4-6h,2021-12-06_13h25.11.791,bachelor,2021.2.3,MacIntel,60.0024001,,,right,1.7375,0,14,14,17,1,scientist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,kolobabs,woman,23,4-6h,2021-12-06_13h25.11.791,bachelor,2021.2.3,MacIntel,60.0024001,,,left,1.3712,0,15,15,22,1,woman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,kolobabs,woman,23,4-6h,2021-12-06_13h25.11.791,bachelor,2021.2.3,MacIntel,60.0024001,,,right,7.8871,0,16,16,6,1,airport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,kolobabs,woman,23,4-6h,2021-12-06_13h25.11.791,bachelor,2021.2.3,MacIntel,60.0024001,,,right,2.3492,0,17,17,12,1,forest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,kolobabs,woman,23,4-6h,2021-12-06_13h25.11.791,bachelor,2021.2.3,MacIntel,60.0024001,,,right,3.2654,0,18,18,0,1,drank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,kolobabs,woman,23,4-6h,2021-12-06_13h25.11.791,bachelor,2021.2.3,MacIntel,60.0024001,,,right,1.995,0,19,19,20,1,journalist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,kolobabs,woman,23,4-6h,2021-12-06_13h25.11.791,bachelor,2021.2.3,MacIntel,60.0024001,,,left,2.9712,0,20,20,8,1,college,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,kolobabs,woman,23,4-6h,2021-12-06_13h25.11.791,bachelor,2021.2.3,MacIntel,60.0024001,,,left,2.2166,0,21,21,4,1,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,kolobabs,woman,23,4-6h,2021-12-06_13h25.11.791,bachelor,2021.2.3,MacIntel,60.0024001,,,right,4.0512,0,22,22,16,1,gunshot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,kolobabs,woman,23,4-6h,2021-12-06_13h25.11.791,bachelor,2021.2.3,MacIntel,60.0024001,,,right,3.926,0,23,23,21,1,ambulance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,kolobabs,woman,23,4-6h,2021-12-06_13h25.11.791,bachelor,2021.2.3,MacIntel,60.0024001,,,left,1.8075,0,24,24,5,1,cold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,kolobabs,woman,23,4-6h,2021-12-06_13h25.11.791,bachelor,2021.2.3,MacIntel,60.0024001,,,right,3.9854,0,25,25,14,1,tourist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,kolobabs,woman,23,4-6h,2021-12-06_13h25.11.791,bachelor,2021.2.3,MacIntel,60.0024001,,,left,1.0625,0,26,26,10,1,church,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,kolobabs,woman,23,4-6h,2021-12-06_13h25.11.791,bachelor,2021.2.3,MacIntel,60.0024001,,,right,1.2036,0,27,27,11,1,gasp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,kolobabs,woman,23,4-6h,2021-12-06_13h25.11.791,bachelor,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,space,12.9496,right,2.4727,0,0,0,1,1,10 - 18 + 1 = -9?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,kolobabs,woman,23,4-6h,2021-12-06_13h25.11.791,bachelor,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,,left,2.8309,0,1,1,3,1,2 + 20 x 4 = 82?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,kolobabs,woman,23,4-6h,2021-12-06_13h25.11.791,bachelor,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,,right,3.6307,0,2,2,2,1,10 - 5 - 16 = 21?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,kolobabs,woman,23,4-6h,2021-12-06_13h25.11.791,bachelor,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,,right,4.1195,0,3,3,4,1,11 + 3 - 7 = 8?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,kolobabs,woman,23,4-6h,2021-12-06_13h25.11.791,bachelor,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,,right,1.8866,0,4,4,0,1,5 x 5 - 10 = 22?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,kolobabs,woman,23,4-6h,2021-12-06_13h25.11.791,bachelor,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,54 + 60 - 1 = 113?,space,5.1163,left,3.8011,0,0,0,5,1,PAY ATTENTION,1,left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,kolobabs,woman,23,4-6h,2021-12-06_13h25.11.791,bachelor,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,2 x 40 + 3 = 84?,,,right,2.0776,0,1,1,6,1,RESPONSE RECORDED,0,right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,kolobabs,woman,23,4-6h,2021-12-06_13h25.11.791,bachelor,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,14 x 2 + 10 = 38?,,,right,2.1751,0,2,2,4,1,CONCENTRATE,1,left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,kolobabs,woman,23,4-6h,2021-12-06_13h25.11.791,bachelor,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,50 x 3 + 12 = 147?,,,right,3.2118,0,3,3,1,1,SPEED UP,1,left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,kolobabs,woman,23,4-6h,2021-12-06_13h25.11.791,bachelor,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,5 x 5 - 29 = -40?,,,right,2.5099,0,4,4,7,1,SPEED UP,0,right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,kolobabs,woman,23,4-6h,2021-12-06_13h25.11.791,bachelor,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,53 + 13 x 7 = -150?,,,right,4.0615,0,5,5,12,1,YOU’RE NOT TRYING HARD ENOUGH,0,right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,kolobabs,woman,23,4-6h,2021-12-06_13h25.11.791,bachelor,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,54 - 40 x -2 = - 27?,,,,,0,6,6,8,1,RESPONSE RECORDED,0,right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
