key_resp_17.keys,key_resp_17.rt,key_resp_13.keys,key_resp_13.rt,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_5.ran,Text,Condition,participant,Gender*,Age*,Estimated hours since last sleep*,date,expName,psychopyVersion,OS,frameRate,fbclid,key_resp_2.keys,key_resp_2.rt,key_resp_11.keys,key_resp_11.rt,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,trials_6.ran,Word,key_resp_3.keys,key_resp_3.rt,key_resp_9.keys,key_resp_9.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Stimuli,keyrespp.keys,keyrespp.rt,key_resp_4.keys,key_resp_4.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,Response,Congr,RightAns,key_resp_8.keys,key_resp_8.rt,key_resp_10.keys,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_4.ran,key_resp_10.rt,key_resp_14.keys,key_resp_14.rt,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,trials_7.ran,key_resp_5.keys,key_resp_5.rt,key_resp_12.keys,key_resp_12.rt,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,key_resp_6.keys,key_resp_6.rt,key_resp_15.keys,key_resp_15.rt,socialexc.thisRepN,socialexc.thisTrialN,socialexc.thisN,socialexc.thisIndex,socialexc.ran,Question,key_resp_7.keys,key_resp_7.rt,key_resp_16.keys,key_resp_16.rt
y,18.1528,space,2.3251,0,0,0,0,1,"
Please complete all tasks. It will take no more than 5-10 minutes.

Press any key to start the experiment",0,,woman,22,1-3h,2021-12-02_09h47.18.198,bachelor,2021.2.3,Win32,59.9268892,IwAR1d1TKlMt1yzBDY5woBuInyc2XF-19_z_l9N1cMfEXg579fCM0azRbEP2k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,woman,22,1-3h,2021-12-02_09h47.18.198,bachelor,2021.2.3,Win32,59.9268892,IwAR1d1TKlMt1yzBDY5woBuInyc2XF-19_z_l9N1cMfEXg579fCM0azRbEP2k,space,17.2546,left,2.3365,0,0,0,3,1,foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,woman,22,1-3h,2021-12-02_09h47.18.198,bachelor,2021.2.3,Win32,59.9268892,IwAR1d1TKlMt1yzBDY5woBuInyc2XF-19_z_l9N1cMfEXg579fCM0azRbEP2k,,,right,1.3427,0,1,1,7,1,cough,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,woman,22,1-3h,2021-12-02_09h47.18.198,bachelor,2021.2.3,Win32,59.9268892,IwAR1d1TKlMt1yzBDY5woBuInyc2XF-19_z_l9N1cMfEXg579fCM0azRbEP2k,,,left,2.9461,0,2,2,27,1,applause,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,woman,22,1-3h,2021-12-02_09h47.18.198,bachelor,2021.2.3,Win32,59.9268892,IwAR1d1TKlMt1yzBDY5woBuInyc2XF-19_z_l9N1cMfEXg579fCM0azRbEP2k,,,right,5.2001,0,3,3,25,1,soccer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,woman,22,1-3h,2021-12-02_09h47.18.198,bachelor,2021.2.3,Win32,59.9268892,IwAR1d1TKlMt1yzBDY5woBuInyc2XF-19_z_l9N1cMfEXg579fCM0azRbEP2k,,,right,0.977,0,4,4,18,1,screech,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,woman,22,1-3h,2021-12-02_09h47.18.198,bachelor,2021.2.3,Win32,59.9268892,IwAR1d1TKlMt1yzBDY5woBuInyc2XF-19_z_l9N1cMfEXg579fCM0azRbEP2k,,,right,1.1611,0,5,5,10,1,church,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,woman,22,1-3h,2021-12-02_09h47.18.198,bachelor,2021.2.3,Win32,59.9268892,IwAR1d1TKlMt1yzBDY5woBuInyc2XF-19_z_l9N1cMfEXg579fCM0azRbEP2k,,,left,0.8799,0,6,6,6,1,airport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,woman,22,1-3h,2021-12-02_09h47.18.198,bachelor,2021.2.3,Win32,59.9268892,IwAR1d1TKlMt1yzBDY5woBuInyc2XF-19_z_l9N1cMfEXg579fCM0azRbEP2k,,,right,1.6601,0,7,7,13,1,belch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,woman,22,1-3h,2021-12-02_09h47.18.198,bachelor,2021.2.3,Win32,59.9268892,IwAR1d1TKlMt1yzBDY5woBuInyc2XF-19_z_l9N1cMfEXg579fCM0azRbEP2k,,,left,1.3646,0,8,8,24,1,lip,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,woman,22,1-3h,2021-12-02_09h47.18.198,bachelor,2021.2.3,Win32,59.9268892,IwAR1d1TKlMt1yzBDY5woBuInyc2XF-19_z_l9N1cMfEXg579fCM0azRbEP2k,,,right,0.7639,0,9,9,16,1,gunshot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,woman,22,1-3h,2021-12-02_09h47.18.198,bachelor,2021.2.3,Win32,59.9268892,IwAR1d1TKlMt1yzBDY5woBuInyc2XF-19_z_l9N1cMfEXg579fCM0azRbEP2k,,,right,0.7286,0,10,10,1,1,ricochet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,woman,22,1-3h,2021-12-02_09h47.18.198,bachelor,2021.2.3,Win32,59.9268892,IwAR1d1TKlMt1yzBDY5woBuInyc2XF-19_z_l9N1cMfEXg579fCM0azRbEP2k,,,left,2.1418,0,11,11,20,1,journalist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,woman,22,1-3h,2021-12-02_09h47.18.198,bachelor,2021.2.3,Win32,59.9268892,IwAR1d1TKlMt1yzBDY5woBuInyc2XF-19_z_l9N1cMfEXg579fCM0azRbEP2k,,,left,0.7606,0,12,12,22,1,woman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,woman,22,1-3h,2021-12-02_09h47.18.198,bachelor,2021.2.3,Win32,59.9268892,IwAR1d1TKlMt1yzBDY5woBuInyc2XF-19_z_l9N1cMfEXg579fCM0azRbEP2k,,,left,0.7952,0,13,13,14,1,tourist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,woman,22,1-3h,2021-12-02_09h47.18.198,bachelor,2021.2.3,Win32,59.9268892,IwAR1d1TKlMt1yzBDY5woBuInyc2XF-19_z_l9N1cMfEXg579fCM0azRbEP2k,,,left,1.1042,0,14,14,12,1,forest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,woman,22,1-3h,2021-12-02_09h47.18.198,bachelor,2021.2.3,Win32,59.9268892,IwAR1d1TKlMt1yzBDY5woBuInyc2XF-19_z_l9N1cMfEXg579fCM0azRbEP2k,,,right,1.366,0,15,15,15,1,minister,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,woman,22,1-3h,2021-12-02_09h47.18.198,bachelor,2021.2.3,Win32,59.9268892,IwAR1d1TKlMt1yzBDY5woBuInyc2XF-19_z_l9N1cMfEXg579fCM0azRbEP2k,,,left,0.9653,0,16,16,26,1,eye,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,woman,22,1-3h,2021-12-02_09h47.18.198,bachelor,2021.2.3,Win32,59.9268892,IwAR1d1TKlMt1yzBDY5woBuInyc2XF-19_z_l9N1cMfEXg579fCM0azRbEP2k,,,right,0.9537,0,17,17,11,1,gasp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,woman,22,1-3h,2021-12-02_09h47.18.198,bachelor,2021.2.3,Win32,59.9268892,IwAR1d1TKlMt1yzBDY5woBuInyc2XF-19_z_l9N1cMfEXg579fCM0azRbEP2k,,,left,0.93,0,18,18,8,1,college,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,woman,22,1-3h,2021-12-02_09h47.18.198,bachelor,2021.2.3,Win32,59.9268892,IwAR1d1TKlMt1yzBDY5woBuInyc2XF-19_z_l9N1cMfEXg579fCM0azRbEP2k,,,right,0.8231,0,19,19,4,1,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,woman,22,1-3h,2021-12-02_09h47.18.198,bachelor,2021.2.3,Win32,59.9268892,IwAR1d1TKlMt1yzBDY5woBuInyc2XF-19_z_l9N1cMfEXg579fCM0azRbEP2k,,,right,0.8748,0,20,20,23,1,fee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,woman,22,1-3h,2021-12-02_09h47.18.198,bachelor,2021.2.3,Win32,59.9268892,IwAR1d1TKlMt1yzBDY5woBuInyc2XF-19_z_l9N1cMfEXg579fCM0azRbEP2k,,,left,0.9632,0,21,21,19,1,wonder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,woman,22,1-3h,2021-12-02_09h47.18.198,bachelor,2021.2.3,Win32,59.9268892,IwAR1d1TKlMt1yzBDY5woBuInyc2XF-19_z_l9N1cMfEXg579fCM0azRbEP2k,,,left,5.0779,0,22,22,2,1,home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,woman,22,1-3h,2021-12-02_09h47.18.198,bachelor,2021.2.3,Win32,59.9268892,IwAR1d1TKlMt1yzBDY5woBuInyc2XF-19_z_l9N1cMfEXg579fCM0azRbEP2k,,,right,1.794,0,23,23,21,1,ambulance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,woman,22,1-3h,2021-12-02_09h47.18.198,bachelor,2021.2.3,Win32,59.9268892,IwAR1d1TKlMt1yzBDY5woBuInyc2XF-19_z_l9N1cMfEXg579fCM0azRbEP2k,,,right,1.1129,0,24,24,0,1,drank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,woman,22,1-3h,2021-12-02_09h47.18.198,bachelor,2021.2.3,Win32,59.9268892,IwAR1d1TKlMt1yzBDY5woBuInyc2XF-19_z_l9N1cMfEXg579fCM0azRbEP2k,,,left,1.4451,0,25,25,9,1,hot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,woman,22,1-3h,2021-12-02_09h47.18.198,bachelor,2021.2.3,Win32,59.9268892,IwAR1d1TKlMt1yzBDY5woBuInyc2XF-19_z_l9N1cMfEXg579fCM0azRbEP2k,,,right,0.9623,0,26,26,5,1,cold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,woman,22,1-3h,2021-12-02_09h47.18.198,bachelor,2021.2.3,Win32,59.9268892,IwAR1d1TKlMt1yzBDY5woBuInyc2XF-19_z_l9N1cMfEXg579fCM0azRbEP2k,,,right,1.082,0,27,27,17,1,scientist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,woman,22,1-3h,2021-12-02_09h47.18.198,bachelor,2021.2.3,Win32,59.9268892,IwAR1d1TKlMt1yzBDY5woBuInyc2XF-19_z_l9N1cMfEXg579fCM0azRbEP2k,,,,,,,,,,,space,12.048,left,3.2707,0,0,0,3,1,2 + 20 x 4 = 82?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,woman,22,1-3h,2021-12-02_09h47.18.198,bachelor,2021.2.3,Win32,59.9268892,IwAR1d1TKlMt1yzBDY5woBuInyc2XF-19_z_l9N1cMfEXg579fCM0azRbEP2k,,,,,,,,,,,,,right,3.1581,0,1,1,4,1,11 + 3 - 7 = 8?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,woman,22,1-3h,2021-12-02_09h47.18.198,bachelor,2021.2.3,Win32,59.9268892,IwAR1d1TKlMt1yzBDY5woBuInyc2XF-19_z_l9N1cMfEXg579fCM0azRbEP2k,,,,,,,,,,,,,right,2.6865,0,2,2,0,1,5 x 5 - 10 = 22?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,woman,22,1-3h,2021-12-02_09h47.18.198,bachelor,2021.2.3,Win32,59.9268892,IwAR1d1TKlMt1yzBDY5woBuInyc2XF-19_z_l9N1cMfEXg579fCM0azRbEP2k,,,,,,,,,,,,,,,0,3,3,1,1,10 - 18 + 1 = -9?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,woman,22,1-3h,2021-12-02_09h47.18.198,bachelor,2021.2.3,Win32,59.9268892,IwAR1d1TKlMt1yzBDY5woBuInyc2XF-19_z_l9N1cMfEXg579fCM0azRbEP2k,,,,,,,,,,,,,right,3.9788,0,4,4,2,1,10 - 5 - 16 = 21?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,woman,22,1-3h,2021-12-02_09h47.18.198,bachelor,2021.2.3,Win32,59.9268892,IwAR1d1TKlMt1yzBDY5woBuInyc2XF-19_z_l9N1cMfEXg579fCM0azRbEP2k,,,,,,,,,,,,,,,,,,,,54 + 60 - 1 = 113?,space,3.6482,left,4.4763,0,0,0,5,1,PAY ATTENTION,1,left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,woman,22,1-3h,2021-12-02_09h47.18.198,bachelor,2021.2.3,Win32,59.9268892,IwAR1d1TKlMt1yzBDY5woBuInyc2XF-19_z_l9N1cMfEXg579fCM0azRbEP2k,,,,,,,,,,,,,,,,,,,,53 + 13 x 7 = -150?,,,,,0,1,1,12,1,YOU’RE NOT TRYING HARD ENOUGH,0,right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,woman,22,1-3h,2021-12-02_09h47.18.198,bachelor,2021.2.3,Win32,59.9268892,IwAR1d1TKlMt1yzBDY5woBuInyc2XF-19_z_l9N1cMfEXg579fCM0azRbEP2k,,,,,,,,,,,,,,,,,,,,2 - 15 + 39 = 27?,,,right,3.7371,0,2,2,0,1,RESPONSE RECORDED,0,right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,woman,22,1-3h,2021-12-02_09h47.18.198,bachelor,2021.2.3,Win32,59.9268892,IwAR1d1TKlMt1yzBDY5woBuInyc2XF-19_z_l9N1cMfEXg579fCM0azRbEP2k,,,,,,,,,,,,,,,,,,,,5 x 5 - 29 = -40?,,,right,2.5005,0,3,3,7,1,SPEED UP,0,right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,woman,22,1-3h,2021-12-02_09h47.18.198,bachelor,2021.2.3,Win32,59.9268892,IwAR1d1TKlMt1yzBDY5woBuInyc2XF-19_z_l9N1cMfEXg579fCM0azRbEP2k,,,,,,,,,,,,,,,,,,,,35 - 65 - 20 = - 55?,,,left,3.3799,0,4,4,10,1,RESPONSE RECORDED,0,right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,woman,22,1-3h,2021-12-02_09h47.18.198,bachelor,2021.2.3,Win32,59.9268892,IwAR1d1TKlMt1yzBDY5woBuInyc2XF-19_z_l9N1cMfEXg579fCM0azRbEP2k,,,,,,,,,,,,,,,,,,,,14 x 2 + 10 = 38?,,,left,3.2583,0,5,5,4,1,CONCENTRATE,1,left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,woman,22,1-3h,2021-12-02_09h47.18.198,bachelor,2021.2.3,Win32,59.9268892,IwAR1d1TKlMt1yzBDY5woBuInyc2XF-19_z_l9N1cMfEXg579fCM0azRbEP2k,,,,,,,,,,,,,,,,,,,,47 + 13 - 7 = 53?,,,left,2.3869,0,6,6,11,1,RESPONSE RECORDED,1,left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,woman,22,1-3h,2021-12-02_09h47.18.198,bachelor,2021.2.3,Win32,59.9268892,IwAR1d1TKlMt1yzBDY5woBuInyc2XF-19_z_l9N1cMfEXg579fCM0azRbEP2k,,,,,,,,,,,,,,,,,,,,14 x 2 - 3 = 25?,,,left,3.7229,0,7,7,13,1,TRY HARDER,1,left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
