key_resp_17.keys,key_resp_17.rt,key_resp_13.keys,key_resp_13.rt,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_5.ran,Text,Condition,participant,Gender*,Age*,Estimated hours since last sleep*,date,expName,psychopyVersion,OS,frameRate,fbclid,key_resp_2.keys,key_resp_2.rt,key_resp_11.keys,key_resp_11.rt,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,trials_6.ran,Word,key_resp_3.keys,key_resp_3.rt,key_resp_9.keys,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Stimuli,key_resp_9.rt,keyrespp.keys,keyrespp.rt,key_resp_4.keys,key_resp_4.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,Response,Congr,RightAns,key_resp_8.keys,key_resp_8.rt,key_resp_10.keys,key_resp_10.rt,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_4.ran,key_resp_14.keys,key_resp_14.rt,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,trials_7.ran,key_resp_5.keys,key_resp_5.rt,key_resp_12.keys,key_resp_12.rt,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,key_resp_6.keys,key_resp_6.rt,key_resp_15.keys,key_resp_15.rt,socialexc.thisRepN,socialexc.thisTrialN,socialexc.thisN,socialexc.thisIndex,socialexc.ran,Question,key_resp_7.keys,key_resp_7.rt,key_resp_16.keys,key_resp_16.rt
y,22.1243,space,6.9279,0,0,0,0,1,"Please complete all tasks. It will take no more than 5-10 minutes.

Thank you for contributing to science and deciding to offer your time. Your participation is highly valued. 

Press SPACE to start the experiment",1,5588,woman,24,4-6h,2021-12-04_12h48.41.699,bachelor,2021.2.3,Win32,59.69080165,IwAR1U9sv7jt6-VzaoK-jLrG5svuDWOPsE4OrmrlNSodsVR0DslIWgxoNfjnw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,5588,woman,24,4-6h,2021-12-04_12h48.41.699,bachelor,2021.2.3,Win32,59.69080165,IwAR1U9sv7jt6-VzaoK-jLrG5svuDWOPsE4OrmrlNSodsVR0DslIWgxoNfjnw,space,16.8258,right,3.8423,0,0,0,18,1,screech,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,5588,woman,24,4-6h,2021-12-04_12h48.41.699,bachelor,2021.2.3,Win32,59.69080165,IwAR1U9sv7jt6-VzaoK-jLrG5svuDWOPsE4OrmrlNSodsVR0DslIWgxoNfjnw,,,left,1.6101,0,1,1,23,1,fee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,5588,woman,24,4-6h,2021-12-04_12h48.41.699,bachelor,2021.2.3,Win32,59.69080165,IwAR1U9sv7jt6-VzaoK-jLrG5svuDWOPsE4OrmrlNSodsVR0DslIWgxoNfjnw,,,left,1.2947,0,2,2,10,1,church,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,5588,woman,24,4-6h,2021-12-04_12h48.41.699,bachelor,2021.2.3,Win32,59.69080165,IwAR1U9sv7jt6-VzaoK-jLrG5svuDWOPsE4OrmrlNSodsVR0DslIWgxoNfjnw,,,right,2.2543,0,3,3,20,1,journalist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,5588,woman,24,4-6h,2021-12-04_12h48.41.699,bachelor,2021.2.3,Win32,59.69080165,IwAR1U9sv7jt6-VzaoK-jLrG5svuDWOPsE4OrmrlNSodsVR0DslIWgxoNfjnw,,,right,3.0549,0,4,4,21,1,ambulance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,5588,woman,24,4-6h,2021-12-04_12h48.41.699,bachelor,2021.2.3,Win32,59.69080165,IwAR1U9sv7jt6-VzaoK-jLrG5svuDWOPsE4OrmrlNSodsVR0DslIWgxoNfjnw,,,left,1.1896,0,5,5,17,1,scientist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,5588,woman,24,4-6h,2021-12-04_12h48.41.699,bachelor,2021.2.3,Win32,59.69080165,IwAR1U9sv7jt6-VzaoK-jLrG5svuDWOPsE4OrmrlNSodsVR0DslIWgxoNfjnw,,,right,2.1786,0,6,6,27,1,applause,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,5588,woman,24,4-6h,2021-12-04_12h48.41.699,bachelor,2021.2.3,Win32,59.69080165,IwAR1U9sv7jt6-VzaoK-jLrG5svuDWOPsE4OrmrlNSodsVR0DslIWgxoNfjnw,,,right,2.3266,0,7,7,16,1,gunshot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,5588,woman,24,4-6h,2021-12-04_12h48.41.699,bachelor,2021.2.3,Win32,59.69080165,IwAR1U9sv7jt6-VzaoK-jLrG5svuDWOPsE4OrmrlNSodsVR0DslIWgxoNfjnw,,,left,1.3646,0,8,8,19,1,wonder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,5588,woman,24,4-6h,2021-12-04_12h48.41.699,bachelor,2021.2.3,Win32,59.69080165,IwAR1U9sv7jt6-VzaoK-jLrG5svuDWOPsE4OrmrlNSodsVR0DslIWgxoNfjnw,,,left,1.3529,0,9,9,8,1,college,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,5588,woman,24,4-6h,2021-12-04_12h48.41.699,bachelor,2021.2.3,Win32,59.69080165,IwAR1U9sv7jt6-VzaoK-jLrG5svuDWOPsE4OrmrlNSodsVR0DslIWgxoNfjnw,,,left,1.8718,0,10,10,26,1,eye,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,5588,woman,24,4-6h,2021-12-04_12h48.41.699,bachelor,2021.2.3,Win32,59.69080165,IwAR1U9sv7jt6-VzaoK-jLrG5svuDWOPsE4OrmrlNSodsVR0DslIWgxoNfjnw,,,left,1.6109,0,11,11,7,1,cough,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,5588,woman,24,4-6h,2021-12-04_12h48.41.699,bachelor,2021.2.3,Win32,59.69080165,IwAR1U9sv7jt6-VzaoK-jLrG5svuDWOPsE4OrmrlNSodsVR0DslIWgxoNfjnw,,,left,1.0127,0,12,12,24,1,lip,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,5588,woman,24,4-6h,2021-12-04_12h48.41.699,bachelor,2021.2.3,Win32,59.69080165,IwAR1U9sv7jt6-VzaoK-jLrG5svuDWOPsE4OrmrlNSodsVR0DslIWgxoNfjnw,,,left,2.1263,0,13,13,2,1,home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,5588,woman,24,4-6h,2021-12-04_12h48.41.699,bachelor,2021.2.3,Win32,59.69080165,IwAR1U9sv7jt6-VzaoK-jLrG5svuDWOPsE4OrmrlNSodsVR0DslIWgxoNfjnw,,,right,1.8129,0,14,14,11,1,gasp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,5588,woman,24,4-6h,2021-12-04_12h48.41.699,bachelor,2021.2.3,Win32,59.69080165,IwAR1U9sv7jt6-VzaoK-jLrG5svuDWOPsE4OrmrlNSodsVR0DslIWgxoNfjnw,,,right,1.5882,0,15,15,25,1,soccer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
