key_resp_17.keys,key_resp_17.rt,key_resp_13.keys,key_resp_13.rt,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_5.ran,Text,Condition,participant,Gender*,Age*,Estimated hours since last sleep*,date,expName,psychopyVersion,OS,frameRate,fbclid,key_resp_2.keys,key_resp_2.rt,key_resp_11.keys,key_resp_11.rt,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,trials_6.ran,Word,key_resp_3.keys,key_resp_3.rt,key_resp_9.keys,key_resp_9.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Stimuli,keyrespp.keys,keyrespp.rt,key_resp_4.keys,key_resp_4.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,Response,Congr,RightAns,key_resp_8.keys,key_resp_8.rt,key_resp_10.keys,key_resp_10.rt,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_4.ran,key_resp_14.keys,key_resp_14.rt,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,trials_7.ran,key_resp_5.keys,key_resp_5.rt,key_resp_12.keys,key_resp_12.rt,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,key_resp_6.keys,key_resp_6.rt,key_resp_15.keys,key_resp_15.rt,socialexc.thisRepN,socialexc.thisTrialN,socialexc.thisN,socialexc.thisIndex,socialexc.ran,Question,key_resp_7.keys,key_resp_7.rt,key_resp_16.keys,key_resp_16.rt
y,17.377,space,3.457,0,0,0,0,1,"
Please complete all tasks. It will take no more than 5-10 minutes.

Press any key to start the experiment",0,736,woman,21,13-15h,2021-12-01_20h47.58.802,bachelor,2021.2.3,MacIntel,71.42857143,IwAR0fIy4rXJbTyGk1qvhlqIHko2JwZHUIjMwkfZhFNfNAb7iLftWId5prvy8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,736,woman,21,13-15h,2021-12-01_20h47.58.802,bachelor,2021.2.3,MacIntel,71.42857143,IwAR0fIy4rXJbTyGk1qvhlqIHko2JwZHUIjMwkfZhFNfNAb7iLftWId5prvy8,space,22.993,left,1.586,0,0,0,10,1,church,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,736,woman,21,13-15h,2021-12-01_20h47.58.802,bachelor,2021.2.3,MacIntel,71.42857143,IwAR0fIy4rXJbTyGk1qvhlqIHko2JwZHUIjMwkfZhFNfNAb7iLftWId5prvy8,,,right,2.703,0,1,1,8,1,college,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,736,woman,21,13-15h,2021-12-01_20h47.58.802,bachelor,2021.2.3,MacIntel,71.42857143,IwAR0fIy4rXJbTyGk1qvhlqIHko2JwZHUIjMwkfZhFNfNAb7iLftWId5prvy8,,,left,1.657,0,2,2,12,1,forest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,736,woman,21,13-15h,2021-12-01_20h47.58.802,bachelor,2021.2.3,MacIntel,71.42857143,IwAR0fIy4rXJbTyGk1qvhlqIHko2JwZHUIjMwkfZhFNfNAb7iLftWId5prvy8,,,right,1.362,0,3,3,18,1,screech,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,736,woman,21,13-15h,2021-12-01_20h47.58.802,bachelor,2021.2.3,MacIntel,71.42857143,IwAR0fIy4rXJbTyGk1qvhlqIHko2JwZHUIjMwkfZhFNfNAb7iLftWId5prvy8,,,left,1.247,0,4,4,2,1,home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,736,woman,21,13-15h,2021-12-01_20h47.58.802,bachelor,2021.2.3,MacIntel,71.42857143,IwAR0fIy4rXJbTyGk1qvhlqIHko2JwZHUIjMwkfZhFNfNAb7iLftWId5prvy8,,,left,2.752,0,5,5,22,1,woman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,736,woman,21,13-15h,2021-12-01_20h47.58.802,bachelor,2021.2.3,MacIntel,71.42857143,IwAR0fIy4rXJbTyGk1qvhlqIHko2JwZHUIjMwkfZhFNfNAb7iLftWId5prvy8,,,right,4.658,0,6,6,11,1,gasp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,736,woman,21,13-15h,2021-12-01_20h47.58.802,bachelor,2021.2.3,MacIntel,71.42857143,IwAR0fIy4rXJbTyGk1qvhlqIHko2JwZHUIjMwkfZhFNfNAb7iLftWId5prvy8,,,left,1.285,0,7,7,17,1,scientist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,736,woman,21,13-15h,2021-12-01_20h47.58.802,bachelor,2021.2.3,MacIntel,71.42857143,IwAR0fIy4rXJbTyGk1qvhlqIHko2JwZHUIjMwkfZhFNfNAb7iLftWId5prvy8,,,left,1.876,0,8,8,19,1,wonder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
