key_resp_17.keys,key_resp_17.rt,key_resp_13.keys,key_resp_13.rt,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_5.ran,Text,Condition,participant,Gender*,Age*,Estimated hours since last sleep*,date,expName,psychopyVersion,OS,frameRate,fbclid,key_resp_2.keys,key_resp_2.rt,key_resp_11.keys,key_resp_11.rt,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,trials_6.ran,Word,key_resp_3.keys,key_resp_3.rt,key_resp_9.keys,key_resp_9.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Stimuli,keyrespp.keys,keyrespp.rt,key_resp_4.keys,key_resp_4.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,Response,Congr,RightAns,key_resp_8.keys,key_resp_8.rt,key_resp_10.keys,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_4.ran,key_resp_10.rt,key_resp_14.keys,key_resp_14.rt,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,trials_7.ran,key_resp_5.keys,key_resp_5.rt,key_resp_12.keys,key_resp_12.rt,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,key_resp_6.keys,key_resp_6.rt,key_resp_15.keys,key_resp_15.rt,socialexc.thisRepN,socialexc.thisTrialN,socialexc.thisN,socialexc.thisIndex,socialexc.ran,Question,key_resp_7.keys,key_resp_7.rt,key_resp_16.keys,key_resp_16.rt
y,14.508,backslash,4.378,0,0,0,0,1,"
Please complete all tasks. It will take no more than 5-10 minutes.

Press any key to start the experiment",0,yes,man,24,7-9h,2021-12-06_20h23.58.551,bachelor,2021.2.3,MacIntel,58.82352941,IwAR08BE4J92EyYVh4OdBtUtbPLHO2nJ7VIy3dZEFJss6joWhAPq22kb2nxKc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,yes,man,24,7-9h,2021-12-06_20h23.58.551,bachelor,2021.2.3,MacIntel,58.82352941,IwAR08BE4J92EyYVh4OdBtUtbPLHO2nJ7VIy3dZEFJss6joWhAPq22kb2nxKc,space,18.104,right,12.377,0,0,0,16,1,gunshot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,yes,man,24,7-9h,2021-12-06_20h23.58.551,bachelor,2021.2.3,MacIntel,58.82352941,IwAR08BE4J92EyYVh4OdBtUtbPLHO2nJ7VIy3dZEFJss6joWhAPq22kb2nxKc,,,left,5.711,0,1,1,18,1,screech,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,yes,man,24,7-9h,2021-12-06_20h23.58.551,bachelor,2021.2.3,MacIntel,58.82352941,IwAR08BE4J92EyYVh4OdBtUtbPLHO2nJ7VIy3dZEFJss6joWhAPq22kb2nxKc,,,right,2.171,0,2,2,26,1,eye,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,yes,man,24,7-9h,2021-12-06_20h23.58.551,bachelor,2021.2.3,MacIntel,58.82352941,IwAR08BE4J92EyYVh4OdBtUtbPLHO2nJ7VIy3dZEFJss6joWhAPq22kb2nxKc,,,left,3.119,0,3,3,7,1,cough,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,yes,man,24,7-9h,2021-12-06_20h23.58.551,bachelor,2021.2.3,MacIntel,58.82352941,IwAR08BE4J92EyYVh4OdBtUtbPLHO2nJ7VIy3dZEFJss6joWhAPq22kb2nxKc,,,right,3,0,4,4,5,1,cold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,yes,man,24,7-9h,2021-12-06_20h23.58.551,bachelor,2021.2.3,MacIntel,58.82352941,IwAR08BE4J92EyYVh4OdBtUtbPLHO2nJ7VIy3dZEFJss6joWhAPq22kb2nxKc,,,left,3.614,0,5,5,12,1,forest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,yes,man,24,7-9h,2021-12-06_20h23.58.551,bachelor,2021.2.3,MacIntel,58.82352941,IwAR08BE4J92EyYVh4OdBtUtbPLHO2nJ7VIy3dZEFJss6joWhAPq22kb2nxKc,,,right,1.911,0,6,6,21,1,ambulance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,yes,man,24,7-9h,2021-12-06_20h23.58.551,bachelor,2021.2.3,MacIntel,58.82352941,IwAR08BE4J92EyYVh4OdBtUtbPLHO2nJ7VIy3dZEFJss6joWhAPq22kb2nxKc,,,right,3.431,0,7,7,9,1,hot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,yes,man,24,7-9h,2021-12-06_20h23.58.551,bachelor,2021.2.3,MacIntel,58.82352941,IwAR08BE4J92EyYVh4OdBtUtbPLHO2nJ7VIy3dZEFJss6joWhAPq22kb2nxKc,,,right,5.65,0,8,8,25,1,soccer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
